"adat_SINs" "RedCap_SINs"
"333" "STEP1414-F-V1-HT1" "STEP1414-V1-F-HT1"
"334" "STEP2471-F-V1-R-HT1" "STEP2471-V1-F-R-HT1"
"335" "STEP2171-F-V1-L-HT1" "STEP2171-V1-F-L-HT1"
"337" "STEP2536-F-V1-L-HT1" "STEP2536-V1-F-L-HT1"
"338" "STEP2146-F-V1-L-HT1" "STEP2146-V1-F-L-HT1"
"339" "STEP2248-F-V1-R-HT1" "STEP2248-V1-F-R-HT1"
"340" "STEP1213-F-V1-HT1" "STEP1213-V1-F-HT1"
"341" "STEP2423-F-V3-R-HT1" "STEP2423-V3-F-R-HT1"
"342" "STEP2388-F-V1-HT1" "STEP2388-V1-F-HT1"
"344" "STEP1928-F-V1-HT1" "STEP1928-V1-F-HT1"
"345" "STEP2512-F-V5-R-HT1" "STEP2512-V5-F-R-HT1"
"346" "STEP1950-F-V1-HT1" "STEP1950-V1-F-HT1"
"347" "STEP1129-F-V1-HT1" "STEP1129-V1-F-HT1"
"348" "STEP1450-F-V1-HT1" "STEP1450-V1-F-HT1"
"349" "STEP1890-F-V1-HT1-UN" "STEP1890-V1-F-HT1-UN"
"350" "STEP1340-F-V1-HT1" "STEP1340-V1-F-HT1"
"352" "STEP1282-F-V1-HT1" "STEP1282-V1-F-HT1"
"354" "STEP1887-F-V1-HT1-UN" "STEP1887-V1-F-HT1-UN"
"355" "STEP2596-F-V1-R-HT1" "STEP2596-V1-F-R-HT1"
"356" "STEP1070-F-V1-HT1" "STEP1070-V1-F-HT1"
"357" "STEP2593-F-V1-L-HT1" "STEP2593-V1-F-L-HT1"
"358" "STEP1402-F-V1-HT1" "STEP1402-V1-F-HT1"
"360" "STEP2281-F-V1-R-HT1" "STEP2281-V1-F-R-HT1"
"362" "STEP1797-F-V1-HT1" "STEP1797-V1-F-HT1"
"363" "STEP2398-F-V1-HT1" "STEP2398-V1-F-HT1"
"364" "STEP2638-F-V1-R-HT1" "STEP2638-V1-F-R-HT1"
"365" "STEP1069-F-V1-HT1" "STEP1069-V1-F-HT1"
"366" "STEP2549-F-V1-R-HT1" "STEP2549-V1-F-R-HT1"
"367" "STEP1057-F-V1-HT1" "STEP1057-V1-F-HT1"
"368" "STEP2491-F-V6-R-HT1" "STEP2491-V6-F-R-HT1"
"369" "STEP2474-F-V1-R-HT1" "STEP2474-V1-F-R-HT1"
"370" "STEP1951-F-V1-HT1" "STEP1951-V1-F-HT1"
"371" "STEP2242-F-V1-L-HT1" "STEP2242-V1-F-L-HT1"
